,data,icms,ipva,fundeb,comp,total,participacao
185,2010-06,1484107.93,177978.82,10271.68,418.74,1672777.17,0.09739072
186,2010-07,1335316.42,94366.76,11318.72,548.58,1441550.48,0.09739072
187,2010-08,1549319.68,122318.1,11423.04,524.54,1683585.36,0.09739072
188,2010-09,1252448.31,180855.97,11621.47,577.23,1445502.97,0.09739072
189,2010-10,1419543.41,99199.79,11587.31,566.0,1530896.51,0.09739072
190,2010-11,1640675.38,105125.56,12903.91,525.32,1759230.16,0.09739072
191,2010-12,1373338.45,120122.33,14372.88,642.33,1508475.99,0.09739072
192,2011-01,1436076.47,1671456.31,15211.59,472.4,3123216.77,0.09913891
193,2011-02,1390210.75,865595.4,14781.78,827.32,2271415.26,0.09913891
194,2011-03,1651371.85,639930.66,9898.37,1167.86,2302368.74,0.09913891
195,2011-04,1448922.45,167687.84,13484.65,847.84,1630942.78,0.09913891
196,2011-05,1837909.59,153659.42,11945.79,1103.75,2004618.55,0.09913891
197,2011-06,1407078.12,226744.09,13568.65,1137.96,1648528.82,0.09913891
198,2011-07,1516816.09,137626.55,10302.01,1369.84,1666114.49,0.09913891
199,2011-08,1786583.76,153555.63,14974.36,1314.47,1956428.22,0.09913891
200,2011-09,1460799.73,217535.29,11632.32,1376.82,1691344.16,0.09913891
201,2011-10,1561895.11,123651.66,15073.38,1262.7,1701882.84,0.09913891
202,2011-11,1710398.71,109060.43,17920.14,1758.03,1839137.31,0.09913891
203,2011-12,1706141.3,180753.94,16975.37,1669.12,1905539.74,0.09913891
204,2012-01,1952447.34,2114053.3,5812.54,1943.3,4074256.48,0.10738647
205,2012-02,1356259.48,840850.43,16404.34,2012.61,2215526.86,0.10738647
206,2012-03,1684468.78,807997.14,12267.63,1846.27,2506579.82,0.10738647
207,2012-04,1546411.5,172124.52,13362.56,2533.69,1734432.26,0.10738647
208,2012-05,1871390.96,154905.31,17151.36,1552.74,2045000.37,0.10738647
209,2012-06,1639945.1,245681.37,13231.14,1410.2,1900267.81,0.10738647
210,2012-07,1990121.41,173392.86,13439.33,1496.67,2178450.28,0.10738647
211,2012-08,1530314.77,198602.6,14614.62,1394.61,1744926.6,0.10738647
212,2012-09,1738834.48,245032.94,14080.82,1614.24,1999562.49,0.10738647
213,2012-10,2116399.59,163686.07,14804.02,1752.89,2296642.57,0.10738647
214,2012-11,1518202.59,131978.32,14295.24,1584.64,1666060.79,0.10738647
215,2012-12,1902222.87,176678.67,14773.07,1697.31,2095371.92,0.10738647
216,2013-01,1937329.64,2300463.34,18886.63,1766.27,4258445.88,0.11613869
217,2013-02,1684241.28,1080644.91,13120.04,1914.98,2779921.21,0.11613869
218,2013-03,1768989.68,774262.89,10981.04,1325.38,2555558.99,0.11613869
219,2013-04,2201918.52,251726.75,11089.57,1749.38,2466484.23,0.11613869
220,2013-05,1679827.08,190571.67,14609.21,2107.38,1887115.35,0.11613869
221,2013-06,2509766.79,275643.02,14318.1,3153.77,2802881.67,0.11613869
222,2013-07,2243197.28,181719.9,15281.89,3363.53,2443562.61,0.11613869
223,2013-08,1692947.8,180010.12,15146.78,4354.81,1892459.51,0.11613869
224,2013-09,2030479.6,284095.27,14286.23,5829.71,2334690.81,0.11613869
225,2013-10,2178367.82,165519.06,15766.27,4460.17,2364113.31,0.11613869
226,2013-11,1842995.15,129128.44,16666.72,4898.03,1993688.34,0.11613869
227,2013-12,2401764.19,199265.03,16056.05,3821.61,2620906.88,0.11613869
228,2014-01,1923830.42,2718178.75,20234.52,5751.5,4667995.2,0.12080384
229,2014-02,2057010.96,1056695.87,14862.96,6807.81,3135377.6,0.12080384
230,2014-03,2007077.56,915656.62,14538.24,6920.75,2944193.18,0.12080384
231,2014-04,2183449.61,214792.55,17327.88,6954.77,2422524.81,0.12080384
232,2014-05,2100063.4,205771.07,16395.4,62.91,2322292.78,0.12080384
233,2014-06,1681646.29,314488.38,17523.32,8393.71,2022051.7,0.12080384
234,2014-07,2681234.89,175821.17,17427.23,8495.72,2882979.01,0.12080384
235,2014-08,2032989.27,205551.22,16761.53,10651.85,2265953.87,0.12080384
236,2014-09,2551234.06,348326.4,17292.31,9982.32,2926835.09,0.12080384
237,2014-10,1923962.81,219576.39,17726.4,8252.16,2169517.76,0.12080384
238,2014-11,2115803.3,142306.65,20193.03,9316.29,2287619.26,0.12080384
239,2014-12,2559020.45,226252.62,19940.03,8466.62,2813679.72,0.12080384
240,2015-01,2343226.66,2834985.37,28267.02,18823.08,5225302.13,0.12820374
241,2015-02,1761843.26,1159206.88,17215.78,8963.21,2947229.14,0.12820374
242,2015-03,3223487.68,1056069.76,15696.23,7119.43,4302373.09,0.12820374
243,2015-04,2031594.8,226512.0,17766.42,7608.13,2283481.35,0.12820374
244,2015-05,2269279.37,199815.86,17638.53,8772.13,2495505.88,0.12820374
245,2015-06,2779878.13,348174.72,20294.25,10397.93,3158745.03,0.12820374
246,2015-07,2070936.25,197842.85,17064.18,11350.02,2297193.3,0.12820374
247,2015-08,2250342.76,175303.78,17589.08,11368.57,2454604.19,0.12820374
248,2015-09,2641479.24,319515.53,18961.05,11221.9,2991177.72,0.12820374
249,2015-10,2337446.79,179262.32,20585.74,9918.52,2547213.37,0.12820374
250,2015-11,2001357.41,143831.61,19414.79,10835.94,2175439.75,0.12820374
251,2015-12,3171124.42,278989.34,18773.96,11139.85,3480027.56,0.12820374
252,2016-01,2539333.75,2989306.46,21131.84,8571.66,5558343.71,0.14073292
